panel,level,category,n,pct,ci_low,ci_high
grok,broad,evidence_utilization_failure,113,50.0,43.535961853260076,56.464038146739924
grok,broad,representation_sensitive,27,11.946902654867257,8.341857000600857,16.82395038629322
grok,broad,residual_ambiguity,86,38.05309734513274,31.97279084548756,44.532753334118716
grok,broad,other,0,0.0,0.0,1.6713515665003582
claude,broad,evidence_utilization_failure,149,65.929203539823,59.529962342451384,71.7959787514069
claude,broad,representation_sensitive,12,5.3097345132743365,3.0631511662152837,9.050180764904505
claude,broad,residual_ambiguity,65,28.761061946902654,23.25340704016044,34.97867150136183
claude,broad,other,0,0.0,0.0,1.6713515665003582
grok,fine,silver_clear_evidence_utilization_failure,113,50.0,43.535961853260076,56.464038146739924
grok,fine,silver_structured_evidence_sensitive,27,11.946902654867257,8.341857000600857,16.82395038629322
grok,fine,silver_title_context_sensitive,0,0.0,0.0,1.6713515665003582
grok,fine,silver_partial_or_ambiguous_warrant,86,38.05309734513274,31.97279084548756,44.532753334118716
grok,fine,silver_unresolved,0,0.0,0.0,1.6713515665003582
claude,fine,silver_clear_evidence_utilization_failure,149,65.929203539823,59.529962342451384,71.7959787514069
claude,fine,silver_structured_evidence_sensitive,12,5.3097345132743365,3.0631511662152837,9.050180764904505
claude,fine,silver_title_context_sensitive,0,0.0,0.0,1.6713515665003582
claude,fine,silver_partial_or_ambiguous_warrant,65,28.761061946902654,23.25340704016044,34.97867150136183
claude,fine,silver_unresolved,0,0.0,0.0,1.6713515665003582
