stage,judge,pct_supported,pct_refuted,pct_ambiguous,mean_confidence,n
A,claude_full_judge_1,27.876106194690266,44.690265486725664,27.43362831858407,71.3141592920354,226
A,claude_full_judge_2,26.991150442477874,45.13274336283185,27.876106194690266,72.76548672566372,226
A,claude_full_judge_3,26.10619469026549,43.80530973451327,30.08849557522124,72.39380530973452,226
A,claude_full_judge_4,29.20353982300885,48.67256637168141,22.123893805309734,72.54867256637168,226
A,claude_full_judge_5,26.548672566371685,45.13274336283185,28.31858407079646,72.81858407079646,226
B,claude_full_judge_1,29.20353982300885,45.57522123893805,25.221238938053098,72.53539823008849,226
B,claude_full_judge_2,27.43362831858407,47.78761061946903,24.778761061946902,72.72123893805309,226
B,claude_full_judge_3,27.43362831858407,44.24778761061947,28.31858407079646,71.93805309734513,226
B,claude_full_judge_4,28.31858407079646,45.57522123893805,26.10619469026549,72.35398230088495,226
B,claude_full_judge_5,29.20353982300885,46.902654867256636,23.893805309734514,72.98672566371681,226
C,claude_full_judge_1,29.20353982300885,47.78761061946903,23.008849557522122,71.33185840707965,226
C,claude_full_judge_2,29.646017699115045,45.13274336283185,25.221238938053098,70.570796460177,226
C,claude_full_judge_3,29.20353982300885,45.57522123893805,25.221238938053098,71.070796460177,226
C,claude_full_judge_4,27.43362831858407,45.13274336283185,27.43362831858407,72.51769911504425,226
C,claude_full_judge_5,28.31858407079646,45.13274336283185,26.548672566371685,73.34070796460178,226
