subgroup,n_subgroup,panel,category,n,pct,ci_low,ci_high
shared_both_models,40,claude,evidence_utilization_failure,19,47.5,32.935470109606726,62.502637896567315
shared_both_models,40,claude,representation_sensitive,2,5.0,1.3820667382441711,16.50387737288852
shared_both_models,40,claude,residual_ambiguity,19,47.5,32.935470109606726,62.502637896567315
shared_both_models,40,claude,other,0,0.0,0.0,8.762160123480768
shared_both_models,40,grok,evidence_utilization_failure,14,35.0,22.134528870677013,50.49411916636721
shared_both_models,40,grok,representation_sensitive,2,5.0,1.3820667382441711,16.50387737288852
shared_both_models,40,grok,residual_ambiguity,24,60.0,44.595893656849114,73.65167431845472
shared_both_models,40,grok,other,0,0.0,0.0,8.762160123480768
shared_both_models,40,claude,still_ambiguous_after_C,19,47.5,32.935470109606726,62.502637896567315
shared_both_models,40,grok,still_ambiguous_after_C,24,60.0,44.595893656849114,73.65167431845472
single_model_only,186,claude,evidence_utilization_failure,130,69.89247311827957,62.95217132258387,76.02772298448131
single_model_only,186,claude,representation_sensitive,10,5.376344086021505,2.946212073236767,9.612403400103538
single_model_only,186,claude,residual_ambiguity,46,24.731182795698924,19.083863548982333,31.401135574475443
single_model_only,186,claude,other,0,0.0,0.0,2.0235089038632323
single_model_only,186,grok,evidence_utilization_failure,99,53.225806451612904,46.062544896099475,60.25851904558676
single_model_only,186,grok,representation_sensitive,25,13.440860215053764,9.272545762380528,19.088729565175385
single_model_only,186,grok,residual_ambiguity,62,33.333333333333336,26.956375772773804,40.38479386184727
single_model_only,186,grok,other,0,0.0,0.0,2.0235089038632323
single_model_only,186,claude,still_ambiguous_after_C,46,24.731182795698924,19.083863548982333,31.401135574475443
single_model_only,186,grok,still_ambiguous_after_C,62,33.333333333333336,26.956375772773804,40.38479386184727
gpt54_only,75,claude,evidence_utilization_failure,49,65.33333333333333,54.05474609150548,75.1177227383547
gpt54_only,75,claude,representation_sensitive,5,6.666666666666667,2.8810062894068538,14.675060060988326
gpt54_only,75,claude,residual_ambiguity,21,28.0,19.103158879406408,39.04069019079423
gpt54_only,75,claude,other,0,0.0,3.469446951953614e-16,4.8723842504559745
gpt54_only,75,grok,evidence_utilization_failure,32,42.666666666666664,32.100742016743204,53.947207673323675
gpt54_only,75,grok,representation_sensitive,12,16.0,9.396513602397649,25.916707687912417
gpt54_only,75,grok,residual_ambiguity,31,41.333333333333336,30.87772912816287,52.63348414191616
gpt54_only,75,grok,other,0,0.0,3.469446951953614e-16,4.8723842504559745
gpt54_only,75,claude,still_ambiguous_after_C,21,28.0,19.103158879406408,39.04069019079423
gpt54_only,75,grok,still_ambiguous_after_C,31,41.333333333333336,30.87772912816287,52.63348414191616
mini_only,111,claude,evidence_utilization_failure,81,72.97297297297297,64.04595664475978,80.36309259836013
mini_only,111,claude,representation_sensitive,5,4.504504504504505,1.9391760078496987,10.113491177344208
mini_only,111,claude,residual_ambiguity,25,22.52252252252252,15.746529809542526,31.13676423300033
mini_only,111,claude,other,0,0.0,0.0,3.3450104708566712
mini_only,111,grok,evidence_utilization_failure,67,60.36036036036036,51.06087686746636,68.96673357550928
mini_only,111,grok,representation_sensitive,13,11.711711711711711,6.973492667996532,19.011425260136956
mini_only,111,grok,residual_ambiguity,31,27.92792792792793,20.427656972612123,36.9048251271354
mini_only,111,grok,other,0,0.0,0.0,3.3450104708566712
mini_only,111,claude,still_ambiguous_after_C,25,22.52252252252252,15.746529809542526,31.13676423300033
mini_only,111,grok,still_ambiguous_after_C,31,27.92792792792793,20.427656972612123,36.9048251271354
